EnterLogin;123123123123Введите имя пользователя
Следующие_файлы_не_были_загружены;Следующие файлы не были загружены
Исходный_XML_документ;Исходный XML документ
Журнал_запросов;Журнал запросов
Сформировать_запрос_в_Росреестр;Сформировать запрос в Росреестр
Отменить;Отменить
Выполнен;Выполнен
Не_известно;Не известно
Отменён;Отменён
Принят_в_работу;Принят в работу
Создан_запрос;Создан запрос
Укажите_исполнителей_для_каждой_операции;Укажите исполнителей для каждой операции
Показывать_выгрузки;Показывать выгрузки
Выгрузка_из_комбайнов;Выгрузка из комбайнов
Контроль_по_уборке_урожая;Контроль по уборке урожая
Выгрузка_из_бункеров_перегрузчиков;Выгрузка из бункеров перегрузчиков
Следующие_файлы_загружены_но_содержат_некритичные_ошибки;Следующие файлы были успешно загружены, однако содержат некритические ошибки
Добавить_таблицу;Добавить таблицу
Удалить_таблицу;Удалить таблицу
Ошибка_формата_xml;Ошибка формата xml
Кадастр_загружен;Кадастр загружен
Кадастр_не_загружался;Кадастр не загружался
Ошибка_загрузки;Ошибка загрузки
Ошибка_загрузки_кадастра;Ошибка загрузки кадастра
Статус_загрузки_кадастра;Статус загрузки кадастра
Статус_Росреестра;Статус заказа
Величина_отклонения_NDVI_от_среднего_значения;Величина отклонения NDVI от среднего значения
Минимальная_площадь_зоны_неоднородности;Минимальная площадь зоны неоднородности
Процент_неоднородной_площади_от_площади_поля;Процент неоднородной площади от площади поля
Значение_должно_быть_больше;Значение должно быть больше
Значение_должно_быть_меньше;Значение должно быть меньше
или_равно;или равно
Зоны_неоднородности;Зоны неоднородности
Для_всех_клиентов;Для всех клиентов
Активное_действующее_вещество;Активное действующее вещество
Дата_окончания_лицензии;Дата окончания лицензии
Класс_опасности_для_пчел;Класс опасности для пчёл
Класс_опасности_для_человека;Класс опасности для человека
Количество_активного_действуюшего_вещества;Количество активного действуюшего вещества
Лекарственная_форма;Лекарственная форма
Лекарственная_форма_сокращенно;Лекарственная форма сокращённо
Ограничение_ответственности;Ограничение ответственности
Ограничение_ответственности_Параграф_1;Все расчёты и полученные результаты, включая данные по конкретным маркам удобрений, предоставляемые при использовании «Агрокалькулятора», носят исключительно ознакомительный характер, не являются нашими рекомендациями по внесению удобрений и, ввиду многообразия условий земледелия, культур, погодных условий и производственных систем, не могут служить гарантией прогнозируемого результата. Использование «Агрокалькулятора» осуществляется исключительно по Вашему усмотрению и на Ваш риск и не направлено на создание каких-либо юридически значимых последствий. Мы не несем ответственности за любые убытки, ущерб или повреждения (включая, но не ограничиваясь, любые фактические, штрафные, косвенные, случайные или предсказуемые убытки, расходы или судебные издержки), которые могут возникнуть в результате применения расчётов и полученных результатов, предоставляемых при использовании «Агрокалькулятора», а также за любые решения, принятые на основе этих расчетов и результатов.
Ограничение_ответственности_Параграф_2;Предоставленные рекомендации по технике не являются рекламой и размещены исключительно в информационных целях. Ни ПАО «ФосАгро», ни АО «Апатит», не являются поставщиком рекомендуемой техники, в связи с чем не отвечают за качество, иные технические характеристики техники.
Ограничения_по_применению;Ограничения по применению
Регистрационный_номер;Регистрационный номер
Страна_производства;Страна производства
Фирма_производитель;Фирма производитель
Влажность_воздуха;Влажность воздуха
Вредоносность;Вредоносность
Инкубационный_период;Инкубационный период
инфекционная;инфекционная
Источник_инфекции;Источник инфекции
Макс_температура;Макс. температура
Мин_температура;Мин. температура
неинфекционная;неинфекционная
Оптимальная_температура;Оптимальная температура
Периоды_заражения;Периоды заражения
Поражаемые_органы;Поражаемые органы
Симптомы;Симптомы
Типы_проявления_болезни;Типы проявления болезни
Условия_возникновения;Условия возникновения
Экологический_принцип;Экологический принцип
Внешность;Внешность
Накопленная_температура_больше_10;Накопленная температура > 10°
Дополнительная_информация;Дополнительная информация
Инструкция_по_применению_СЗР;Инструкция по применению СЗР
Кратность_обработок;Кратность обработок
Название_на_латыни;Название на латыни
Норма_применения_препарата;Норма применения препарата
Регионы_распространения;Регионы распространения
Средневзвешенная_цена;Средневзвешенная цена
Срок_ожидания;Срок ожидания
Сроки_выхода_для_ручных_механизированных_работ;Сроки выхода для ручных (механизированных) работ
Указанный_номер_терминала_занят_машиной;Указанный номер терминала занят машиной
Скрывать_контура_полей_при_выборе_культуры;Скрывать контура полей при выборе культуры
Не_сформировано_ни_одного_запроса_к_Росреестру;Не сформировано ни одного запроса к Росреестру
Сформированы_запросы_для_следующих_кадастровых_номеров;Сформированы запросы для следующих кадастровых номеров
Бригадный;Бригадный
Раздельный;Раздельный
Разделения;Разделения
Режим;Режим
Работа_с_данными;Работа с данными
Обновить_данные_по_расходу_топлива_для_подопераций;Обновить данные по расходу топлива для подопераций
Процент_обработанной_площади_для_закрытия_операции_вручную;Процент обработанной площади для закрытия операции вручную
Подтвердить_завершение_работ;Подтвердить завершение работ
Завершена_вручную;Завершена вручную
Дата_создания_запроса;Дата создания запроса
Дата_истечения_временного_характера_сведений_о_ЗУ;Дата истечения временного характера сведений о ЗУ
Дата_постановки_на_учет;Дата постановки на учет (дата внесения номера в ГКН)
Дата_постановки_на_учет_по_документу;Дата постановки на учет по документу (для ранее учтенных участков)
Дата_прекращения_существования;Дата прекращения существования (дата снятия с кадастрового учета)
земель;земель
земельного_участка;земельного участка
Кадастровые_номера_всех_земельных_участков_образованных_из_данного_земельного_участка;Кадастровые номера всех земельных участков, образованных из данного земельного участка (строка 18.2)
Кадастровые_номера_земельных_участков_из_которых_образован_данный_участок;Кадастровые номера земельных участков, из которых образован данный участок
Номер_кадастрового_квартала;Номер кадастрового квартала
Особые_отметки;Особые отметки
Группа_ЗУ;Группа ЗУ
Ранее_присвоенные_государственные_учетные_номера;Ранее присвоенные государственные учетные номера
Сведения_о_величине_кадастровой_стоимости;Сведения о величине кадастровой стоимости
Статус_записи_о_ЗУ;Статус записи о ЗУ
участка;участка
Разрешенное_использование_участка;Разрешенное использование участка
Уточнение_местоположения_и_адрес_описание_местоположения_земельного_участка;Уточнение местоположения и адрес (описание местоположения) земельного участка
Кадастровые_номера_зданий_сооружений_объектов_незавершенного_строительства;Кадастровые номера зданий, сооружений, объектов незавершенного строительства, расположенных на земельном участке (сведения ГКН)
Сведения_о_зданиях_сооружениях_объектах_незавершенного_строительства;Сведения о зданиях, сооружениях, объектах незавершенного строительства, расположенных на земельном участке (на основе пространственного анализа для формирования КВ.2)
Сведения_о_правах;Сведения о правах
Сведения_о_смежных_земельных_участках;Сведения о смежных земельных участках
Сведения_об_объектах;Сведения об объектах
Сведения_об_ограничениях_обременениях_прав;Сведения об ограничениях (обременениях) прав
Сведения_о_природных_объектах;Сведения о природных объектах
Сведения_о_частях_участка;Сведения о частях участка
Состав_единого_землепользования;Состав единого землепользования
Автор_заказа;Автор заказа
Отчет_по_выполненным_работам;Отчет по выполненным работам
Занято_другим_пользователем;Занято другим пользователем
Назад;Назад
Группировать;Группировать
Регион;Регион
Отчет_по_кадастрам;Отчёт по кадастрам
Копирование_участков;Копирование участков
Отчет_по_план_факту;Отчет по план-факту
Количество_циклов_должно_быть_минимум;Количество циклов должно быть минимум {1}
Количество_циклов_должно_быть_не_меньше;Количество циклов должно быть не меньше {0}
Ошибка_валидации;Ошибка валидации
Цикл;Цикл
Цикл_одной_из_подопераций_превышает_доступное_количество_циклов;Цикл одной из подопераций превышает доступное количество циклов
циклов;циклов
Аренда_на_карте;Аренда на карте
Запланированный_сбор_урожая;Запланированный сбор урожая
Количество_дочерних_элементов;Количество дочерних элементов
Территория;Территория
Фермер;Фермер
Регионы;Регионы
Учетная;Учетная
Невозможно_добавить_подоперацию;Невозможно добавить подоперацию
Для_подоперации_должна_быть_задана_операция;Для подоперации должна быть задана операция
Произошла_ошибка_форма_не_будет_работать_правильно;Произошла ошибка. Форма не будет работать правильно.
Договора_аренды;Договоры аренды
Договор_аренды;Договор аренды
Объем;Объем
Метеостанции;Метеостанции
Поставщики_метеостанций;Поставщики метеостанций
Выберите_тип_поставщика;Выберите тип поставщика
Закрытый_ключ;Закрытый ключ
Открытый_ключ;Открытый ключ
поставщика_метеостанций;поставщика метеостанций
Поставщик_метеостанций;Поставщик метеостанций
Код_метеостанции_в_системе_поставщика;Код метеостанции в системе поставщика
Температура_почвы_10см;Температура почвы 10 см
Температура_почвы_50см;Температура почвы 50 см
Выберите_поставщика_метеостанций;Выберите поставщика метеостанций
метеостанцию;метеостанцию
Наименования_датчиков;Наименования датчиков
Формула;Формула
Скопировать_все_операции_на_выбранное_поле_я;Скопировать все операции на выбранное поле(я)
Переместить;Переместить
Переместить_все_операции_на_другое_поле;Переместить все операции на другое поле
Скачать_выбранные;Скачать выбранные
ИНН;ИНН
Перейти;Перейти
Карта_глубины_почвообработки;Карта глубины почвообработки
Пересчитать_площадь;Пересчитать площадь
Вы_точно_хотите_пересчитать_площадь_всех_кадастров;Вы точно хотите пересчитать площадь всех кадастров?
Обработка_завершена;Обработка завершена
Ошибка_пересчета_площади;Ошибка пересчета площади
Не_использовать_контроль_идентичных_записей_операций;Не использовать контроль идентичных записей операций
Перенос_операций;Перенос операций
Если_указано_то_тревога_создается_только_в_том_случае_если_техника_проехала_на_чужом_поле_расстояние_свыше_указанного;Если указано, то тревога создаётся только в том случае, если техника проехала на чужом поле расстояние свыше указанного
Путь_пройденный_на_чужих_полях;Путь, пройденный на чужих полях
Клиент_источник;Клиент источник
Болезни_почвы;Болезни почвы
Производители_и_модели;Производители и модели
Исключить_справочники;Исключить справочники
Метеостанции_на_карте;Метеостанции на карте
Проверка_статуса;Проверка статуса
Земельные_участки;Земельные участки
Назначение;Назначение
Не_удалось_удалить_объект_недвижимости;Не удалось удалить объект недвижимости
Объекты_недвижимости;Объекты недвижимости
Сведения_о_частях_объекта_недвижимости;Сведения о частях объекта недвижимости
Основная_характеристика;Основная характеристика
Отчет_по_движению_на_складе;Отчет по движению на складе
Отчет_по_расходу_сзр_удобрений_семян;Отчет по расходу СЗР, удобрений, семян
Вид_ценности;Вид ценности
Материал;Материал
Период_показателей;Период показателей
Привязать_за_фермером;Привязать за фермером
Режим_выбора_полей;Режим выбора полей
Изменение_привязки_участка;Изменение привязки участка
Фактические;Фактические
Указанный_регион_не_принадлежит_выбранному_подразделению;Указанный регион не принадлежит выбранному подразделению
Занят;Занят
Свободен;Свободен
Частично_занят;Частично занят
Неизвестно;Неизвестно
Даты;Даты
Необработанные_заявки;Необработанные заявки
Распределение_ресурсов_по_заявкам;Распределение ресурсов по заявкам
Рассчитать_ресурсы;Рассчитать ресурсы
Расчет_ресурсов_по_заявке;Расчёт ресурсов по заявке
Создать;Создать
Текущие_и_плановые_заявки;Текущие и плановые заявки
Совместим_с_подразделением;Совместим с подразделением
Совместима_с_операцией;Совместима с операцией
Совместима_с_подразделением;Совместима с подразделением
Совместимо_с_операцией;Совместимо с операцией
Совместимо_с_техникой;Совместимо с техникой
В_заявке_были_указаны_не_все_ресурсы_она_будет_перемещена_в_необработанные;В заявке были указаны не все ресурсы, она будет перемещена в необработанные
Имеет_встроенное_орудие;Имеет встроенное орудие
Не_назначены_следующие_ресурсы;Не назначены следующие ресурсы
Список_полей;Список полей
На_странице;На странице
Копирование_выбранных_участков;Выбранных участков
Пересчитать_выбранные;Пересчитать выбранные
Удалить_выбранные;Удалить выбранные
Количество_циклов;Количество циклов
Процент_внесения;Процент внесения
Агрегат;Агрегат
Агрегаты;Агрегаты
Процент_площади;% площади
Процент_площади_2;Процент площади
Технологии;Технологии
Технология;Технология
Циклы;Циклы
Норма_внесения;Норма внесения
Создать_задание_в_глонаш;"Создать задание в ""Глонаш"""
Задание_глонаш;"Задание ""Глонаш"""
Ошибка_деления_поля_из_за_геометрии_поля;Ошибка деления поля из-за неправильной геометрии полигона поля
Загружено_записей;Загружено записей
Осадки_мм;Осадки, мм
Температура_воздуха_C;Температура воздуха, C
Температура_почвы_10_см_C;Температура почвы 10 см, C
Температура_почвы_50_см_C;Температура почвы 50 см, C
Сохранить_kml;Сохранить в .kml
Сохранить_shp;Сохранить в .shp
Сведения_о_занятой_технике;Сведения о занятой технике
АПК_411;411 АПК
АПК_412;412 АПК
Путевой_лист;Путевой лист
AlertTriggerError204;Триггер успешно создан, но его не удалось выбрать из БД
Добавить_прицепщика;Добавить прицепщика
Владелец;Владелец
Предупреждение;Предупреждение
Ошибка_загрузки_справочника;Ошибка загрузки справочника
Суммарную_площадь_полей_рассчитывать_по;Суммарную площадь полей рассчитывать по
Единицы;Единицы
ОКПО;Окпо
Подписанты;Подписанты
ФИО;ФИО
Продолжительность_соответствия_значений_для_срабатывания_тревоги_в_часах;Продолжительность соответствия значений для срабатывания тревоги (в часах)
Метеостанция;Метеостанция
Список_выбранных_датчиков_пуст;Список выбранных датчиков пуст
макс;макс
Упс;Упс, что - то пошло не так. Приносим Вам свои извинения.
Ошибка_при_чтение_файла;Ошибка при чтение файла
Добавление;Добавление
пестицида;пестицида
Системная;Системная
Сглаживать;Сглаживать
Экспорт_NDVI;Экспорт NDVI
Имя_файла;Имя файла
Отчет_по_кадастрам_с_арендой;Отчет по кадастрам с арендой
N_пп;№ п/п
Время_работы_агрегата_в_сутки_ч;Время работы агрегата в сутки, ч
Ед_ца_изм;Ед-ца изм
Кол_во_требуемых_агрегатов_плановое_шт;Кол-во требуемых агрегатов плановое, шт
Кол_во_требуемых_агрегатов_расчетное_шт;Кол-во требуемых агрегатов расчетное, шт
Механизаторы_Водители;Механизаторы / Водители
Наименование_технологической_операции;Наименование технологической операции
Норма_вырабоки_за_смену_га;Норма вырабоки за смену, га
Нормативная_продолжительность_работ_дни;Нормативная продолжительность работ, дни
Окончание_плановое;Окончание плановое
Окончание_по_технологии;Окончание по технологии
Потребность_в_персонале_для_выполнения_объема_работ;Потребность в персонале для выполнения объема работ
Разнорабочие;Разнорабочие
Сельхозмашина;Сельхозмашина
Средства_механизации;Средства механизации
Сроки_проведения_работ;Сроки проведения работ
Пестициды;Пестициды
Смотреть;Смотреть
Рассчитать_взаимные_перекрытия;Рассчитать взаимные перекрытия
Дата_начала_работ;Дата начала работ
Дата_отчета;Дата отчёта
Отчет_о_полевых_работах;Отчёт о полевых работах
Сохранено;Сохранено
Детальный;Детальный
Итоговый;Итоговый
Отчет_выполненных_работ_с_планом;Отчет выполненных работ с планом
Отчет_по_сводке_полевых_работ;Отчет по сводке полевых работ
Вид_работ;Вид работ
Вид_сзр_удобрений;Вид СЗР/Удобрений
Выполнено_за_смену_га;Выполнено за смену, га
Номер_Трактора;Номер трактора
Норма_внесения_кг_л_га;Норма внесения, кг(л)/га
Площадь_культуры_всего_га;Площадь культуры всего, га
Смена_день_ночь;Смена день/ночь
Трактор;Трактор
Разделить_для_текущего_года;Разделить для текущего года
Разделить_для_текущего_и_последующих_лет;Разделить для текущего и последующих лет
Раскрасить_треки_по_скорости;Раскрасить треки по скорости
Длина_строки_не_должна_превышать_1_символов;Длина строки не должна превышать {1} символов
Зав_N;Зав №
Начало_посева;Начало посева
Окончание_посева;Окончание посева
Площадь_посева_единицы;Площадь посева единицы
Прицепное;Прицепное
Механизатор;Механизатор
Дата_посева;Дата посева
Площадь_посева;Площадь посева
Рекомендуемые_сроки;Рекомендуемые сроки
Путевые_листы_из_эксель;Путевые листы из эксель
Заводской_номер;Заводской номер
Сезонный;Сезонный
Объект;Объект
Описание_признака_отображения_пина;Если этот признак установлен, то объект на карте отображается в виде пина в зависимости от выбранной категории, иначе объект отображается в стандартном виде.
Описание_признака_сезонности;Если этот признак установлен, то объект считается сезонным и не будет копироваться автоматически на следующие.
Описание_смены_сезонности;Вы точно хотите установить признак сезонности? Если этот объект копировался из сезона в сезон, его связь с другими годами будет потеряна.
Копирование_объектов;Копирование объектов
Отчет_по_выполнению_плана_из_техкарт;Отчёт по выполнению плана из техкарт
Факт;Факт
Культуры_предшественники;Культуры предшественники
Дата_факта;Дата факта
Скачать_все_путевые_листы;Скачать все путевые листы
Скачать_все_формы_412;Скачать все 412 АПК
группу;группу
Группы_причин_тревог;Группы причин тревог
Группа;Группа
Отчет_по_индексу_NDVI;Отчет по индексу NDVI
Есть_факт;Есть факт
Нет_факта;Нет факта
Время_до_сброса_метки_орудия;Время до сброса метки орудия
Время_до_сброса_метки_пользователя;Время до сброса метки пользователя
Минимальное_количество_поворотов_для_выделения_операции;Минимальное количество поворотов для выделения операции
Минимум_обработанной_площади_для_выделения_операции;Минимум обработанной площади для выделения операции(%)
Выгрузить_участки;Выгрузить участки
Выгрузить_фигуры;Выгрузить фигуры
Степень_фильтрации;Степень фильтрации
Группы_оповещений_о_тревогах;Группы оповещений о тревогах
Группа_оповещений_о_тревогах;Группа оповещений о тревогах
NDVI_и_метео_можно_загружать_только_за_текущий_или_прошлые_года;NDVI и метео можно загружать только за текущий или прошлые года
Расчет_зон_трека;Расчет зон трека
Все_значения_в_одной_строке;Все значения в одной строке
Отдельная_строка_для_каждого_значения;Отдельная строка для каждого значения
Формат;Формат
Права;Права
Страницы;Страницы
Закрепленный_исполнитель;Закрепленный исполнитель
Данные_для_уборки;Данные для уборки
Заполнять_данные_для_уборки;Заполнять данные для уборки
Площадь_культуры;Площадь культуры
Площадь_культуры_должна_быть_больше;Площадь культуры должна быть больше
Обновить_данные_для_операций_со_статусом_завершена;Обновить данные для операций со статусом завершена
Моточасы;Моточасы
Расчет_моточасов;Расчет моточасов
Обновить_данные_по_моточасам_для_операций_со_статусом_завершена;Обновить данные по моточасам для операций со статусом завершена
Отчет_по_пользователям;Отчёт по пользователям
Трек_загружается;Трек загружается
Трек_загружен;Трек загружен
Трек_не_загружен;Трек не загружен
Трек_отсутствует;Трек отсутствует
Отчет_собранный_урожай_по_полям_за_день;"Отчет ""Собранный урожай по полям за день"""
Наемное_ТС;Наемное ТС
Для_наемного_ТС;Для наемного ТС
Отчёт_работа_по_технике;"Отчет - ""Работа по технике"""
Для_некоторых_строк_данные_не_были_сохранены;"Для некоторых строк данные не были сохранены, потому что "
Не_указана_работа;Не указана работа
Отчет_свод_по_работам;"Отчет ""Свод по работам"""
Валидация_обязательное_поле;Обязательно для заполнения
Валидация_только_положительные_числа;Значение не должно быть меньше нуля
Валидация_только_числовое_значение;Допустимо только числовое значение
Номер_реестра_водителя;Номер реестра водителя
Номер_талона;Номер талона
Бахчевые;Бахчевые
Зерновые;Зерновые
Картофель;Картофель
Кормовые;Кормовые
Овощи;Овощи
Прочие;Прочие
Свёкла;Свёкла
Максимальная_длина_1;Максимальная_длина_{1}
Такой_код_культуры_уже_есть_в_списке;Такой код культуры уже есть в списке
Код_культуры;Код культуры
Допустимый_период_монокультуры;Допустимый период монокультуры
Период_возврата_культуры;Период возврата культуры
Отчет_по_ткм_на_уборке;Отчёт по т*км на уборке
Груз;Груз
Отчет_по_заправкам;Отчёт по заправкам
Отчет_по_сводке_полевых_работ_в_разрезе_механизаторов;Отчет по сводке полевых работ в разрезе механизаторов
Норма_расхода_ГСМ_л_100_км;Норма расхода ГСМ (л/100км)
Собрано_по_данным_взвешиваний;Собрано по данным взвешиваний
Влажность_почвы;Влажность почвы
Карта_рельефа;Карта рельефа
Отчет_по_активности_техники;Отчет по активности техники
Складской_учет;Складской учет
Отчёт_по_простоям;Отчёт по простоям
Крытый_ток;Крытый ток
Мехток;Мехток
Навес;Навес
Элеватор;Элеватор
Свой;Свой
Чужой;Чужой
Принадлежность;Принадлежность
Количество_культур;Количество культур
Мощность_приёмки;Мощность приёмки
Суммарный_объем_хранения;Суммарный объем хранения
Тип_принадлежности;Тип принадлежности
Тип_склада;Тип склада
день;день
Вместимость_мест_хранения;Вместимость мест хранения
Доступность;Доступность
Виды_техники;Виды техники
Вид_техники;Вид техники
Самоходная;Самоходная
Тип_техники;Тип техники
Грузоподъемность_в_тоннах;Грузоподъемность в тоннах
Дата_начала_использования;Дата начала использования
Код_1С;Код 1С
Коэффициент_технической_годности;Коэффициент технической годности
На_запчасти;На запчасти
На_продажу;На продажу
Рабочая;Рабочая
Срок_полезного_использования_в_месяцах;Срок полезного использования в месяцах
Участие_в_уборке;Участие в уборке
Надбавки;Надбавки
Карточка_учета_работы;Карточка учета работы
Доводить_учетную_площадь_при_расчетах_взаимных_перекрытий;Доводить учетную площадь при расчетах взаимных перекрытий
Допустимое_отклонение_дней;Допустимое отклонение (дней)
Количество_смен;Количество смен
Максимальное_опоздание_от_конца_агросрока_в_днях;Максимальное опоздание от конца агросрока в днях
Необходимость_соблюдать_период_от_предыдущей_операции;Необходимость соблюдать период от предыдущей операции
Период_от_предыдущей_операции_дней;Период от предыдущей операции (дней)
Штраф_за_невыполнение_операции_проценты_от_урожая;Штраф за невыполнение операции, % от урожая
Группа_операций;Группа операций
Группы_операций;Группы операций
В_режиме_отладки_происходит_скачивание_файла_с_запросом_без_фактической_отправки_в_службу;В режиме отладки происходит скачивание файла с запросом, без фактической отправки в службу
Режим_отладки;Режим отладки
Оценка_качества_работ_агрономом;Оценка качества работ агрономом
Сохранять_оценку_качества_работ_агрономом;Сохранять оценку качества работ агрономом
Дата_и_время_начала_простоя;Дата и время начала (простоя)
Дата_и_время_окончания_простоя;Дата и время окончания (простоя)
Загружать_геометрию_из_частей_участка_subparcels_если_нет_других_координат;Загружать геометрию из частей участка (SubParcels), если нет других координат
Загружать_с_неверной_геометрией;Загружать с неверной геометрией
Отчет_оперативная_сводка_по_технике;"Отчет ""Оперативная сводка по технике"""
Данные_для_датчика_0_не_были_добавлены;Данные для датчика {0} не были добавлены
Вы_уверены;Вы уверены?
для_подтверждения_введите;для подтверждения введите
Характеристика_операции;Характеристика операции
Характеристики_операций;Характеристики операций
Функциональность_системы;Функциональность системы
Уменьшение_КТГ_в_год_процент;Уменьшение КТГ в год,%
Можно_переместить_в_другое_подразделение;Можно переместить в другое подразделение
Остаточная_стоимость_руб;Остаточная стоимость, руб
Расходы_на_ремонт_руб_год;Расходы на ремонт, руб/год
Увеличение_затрат_на_ремонты_в_год_процент;Увеличение затрат на ремонты в год, %
Группировать_по_участкам;Группировать по участкам
Отключение_данного_функционала_после_сохранения_настроек_приведёт_к_удалению_всех_характеристик_из_справочника;Отключение данного функционала после сохранения настроек приведёт к удалению всех характеристик из справочника
Отчёт_по_расходу_топлива_за_период;Отчёт по расходу топлива за период
Отчёт_по_работе_техники_на_полях_других_подразделений;Отчёт по работе техники на полях других подразделений
Указанный_номер_терминала_занят_орудием;Указанный номер терминала занят орудием
Индивидуальный_налоговый_номер_должен_содержать_12_цифр;Индивидуальный налоговый номер должен содержать 12 цифр
Увеличивать_фотографии_с_помощью_лупы;Увеличивать фотографии с помощью лупы
В_работе;В работе
Закрыто;Закрыто
Открыто;Открыто
Количество_ездок_без_груза;Количество ездок без груза
Количество_ездок_с_грузом;Количество ездок с грузом
